Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,558,D-114,PT2672. U48.Z54,PT9876. 33.EP315,Eisenhower D Level Blue Labels,PT23. B86 C47 QUARTO,PT8405. N67 QUARTO,Eisenhower D Level Blue Labels,PT2601. L78 S46 FOLIO,PT2638. M453 S434FOLIO,Eisenhower D Level Blue Labels,PZ1. B446235,PZ83. S3736,Eisenhower D Level Blue Labels,PZ7. U266 QUARTO,PZ7. U266 QUARTO,Eisenhower D Level Blue Labels,N1. A1 A25,N1. A4986,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,
9,9,559,D-115,N1. A4986,N4. B6,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,560,D-116,N4. B6,N72. H58 D53,Eisenhower General Collection,N21. I62 QUARTO,N72. G58 H69 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11,561,D-117,N72. H58 J6613,N4397. G65,Eisenhower General Collection,N72. H58 E26QUARTO,N4710. S313 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,562,D-118,N4754. N5,N6250. B4,Eisenhower General Collection,N4710. S313 QUARTO,N6250. B39 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13,563,D-119,N6250. B41221,N6505. N31,Eisenhower General Collection,N6250. B59 QUARTO,N6505. N425 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14,564,D-120,N6505.P29,N6797.C64A4 QUARTO,Eisenhower General Collection,N6505. N425 QUARTO,N6797. C63 A4QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15,565,D-121,N6797. C67 M66,N6888. K55 A4,Eisenhower General Collection,N6797. C65 A4 QUARTO,N6888. K55 A4 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,16,566,D-122,N6888. K55 A4,N6923. P587 M37,Eisenhower General Collection,N6888. K55 A4 QUARTO,N6923. P6 B6QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,567,D-123,N6923. P6 P64,N7380. S74,Eisenhower General Collection,N6923. P6 P64 QUARTO,N7380. M49 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18,568,D-124,N7380. R313,N7952. A3 T886196,Eisenhower General Collection,N7233. B99 QUARTO,N7953. N1 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19,569,D-125,N7952. A3 V332,N9165. I8 K86,Eisenhower General Collection,N15. K64 FOLIO,N15. K8 1964 FOLIO,Eisenhower General Collection,N40. 1. P943 C2 1966 FOLIO,N40. 1. P943 C2 1966 FOLIO,Eisenhower General Collection,N2410. S7 1953 FOLIO,N2410. S7 1953 FOLIO,Eisenhower General Collection,N2941. A3 1936 FOLIO,N2941. A3 1936 FOLIO,Eisenhower General Collection,N5245. S96 1818 FOLIO,N5245. S96 1818 FOLIO,Eisenhower General Collection,N6888. K436 A4 2004 FOLIO,N6888. K436 A4 2004 FOLIO,Eisenhower General Collection,N6415. B3 B3713 2012 FOLIO,N6415. B3 B3713 2012 FOLIO,Eisenhower General Collection,N6923. B9 S735 1913 FOLIO,N6923. B9 S735 1913 FOLIO,Eisenhower General Collection,N6868. 5.E9 M8 1967 FOLIO,N6868. 5.E9 M8 1967 FOLIO,Eisenhower General Collection,N6921.M35A8 1857 FOLIO,N6923.P8851968FOL IO,Eisenhower General Collection,N7592.2 R47 2012 FOLIO,N7592.2 R47 2012 FOLIO,Eisenhower General Collection,N7604. H84 FOLIO,N7604. H84 FOLIO,Eisenhower General Collection
9,20,570,D-126,NA1. A IA13,NA737. S9 M6,Eisenhower General Collection,NA40. B37 QUARTO,NA737. S9 M3613 QUARTO,Eisenhower General Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
